,element_type,osmid,highway,geometry,addr:city,building,addr:country,addr:district,addr:district:en,addr:housenumber,addr:postcode,addr:province,addr:province:en,addr:street,addr:street:en,addr:subdistrict,addr:subdistrict:en,addr:housename,construction,nodes,name,name:ar,name:en,oneway,alt_name,alt_name:en,junction,country,diplomatic,embassy,name:fr,office,target,building:levels,height,foot,access,amenity,healthcare,source,religion,note,building_1,layer,tunnel,bridge,lanes,maxspeed,note:en,brand,brand:wikidata,brand:wikipedia,shop,phone,website,contact:facebook,contact:instagram,contact:whatsapp,email,healthcare:speciality,brand:ar,brand:en,cuisine,opening_hours,takeaway
0,node,2031386834,crossing,POINT (31.2019709 30.0538408),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,node,3286280370,,POINT (31.1943117 30.0567718),Cairo,apartments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,way,29202219,tertiary,"LINESTRING (31.1954264 30.052484, 31.1954394 30.0525265, 31.1954709 30.0525716, 31.1955188 30.052604, 31.1955769 30.0526196, 31.1979248 30.0528449, 31.1988263 30.05293, 31.1990075 30.0529417, 31.1996795 30.053016, 31.2010096 30.053148, 31.2010894 30.0531564, 31.2011188 30.0531476, 31.2011549 30.0531306, 31.2012025 30.0531071, 31.2012436 30.0530757)",,,,,,,,,,,,,,,,"[3818971986, 6780996275, 6780996274, 6780996273, 6780996276, 321212188, 9658499661, 9658499625, 3816918235, 6452794112, 6456173383, 6784589595, 6456173380, 6456173590, 3816918240]",شارع سوريا,شارع سوريا,Surya Street,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,way,29202285,tertiary,"LINESTRING (31.1999038 30.051655, 31.1998239 30.0516746, 31.1997476 30.0517029, 31.1996799 30.0517372, 31.199621 30.0517787, 31.1995215 30.0518946, 31.1994321 30.0520148, 31.1993496 30.0521386, 31.1992741 30.0522657, 31.1992058 30.0523959, 31.1991448 30.052529, 31.1990913 30.0526646, 31.1990455 30.0528022, 31.1990075 30.0529417, 31.1989907 30.0530293, 31.1989673 30.0531977, 31.1989604 30.0533268, 31.1989627 30.053464, 31.1989776 30.0536174, 31.198997 30.0537367, 31.1990288 30.0538712, 31.1990704 30.0540036, 31.1991414 30.0542311, 31.1992075 30.0543547, 31.1992809 30.0544751, 31.1993616 30.0545919, 31.1994493 30.0547049, 31.1995438 30.0548138, 31.1996431 30.0549166, 31.1997484 30.0550148, 31.1998595 30.0551082, 31.199976 30.0551964, 31.2001191 30.0552967, 31.2002087 30.055347, 31.2003239 30.0554093, 31.2004428 30.0554661, 31.2005651 30.0555172, 31.2006904 30.0555625, 31.2008232 30.0556031, 31.2009584 30.0556372, 31.2010956 30.0556646, 31.2012344 30.0556852, 31.2013743 30.0556991, 31.2014796 30.0557092, 31.2016996 30.055716, 31.2018835 30.0557116, 31.2020667 30.055697, 31.2022485 30.0556724, 31.2024281 30.0556379, 31.2026048 30.0555935, 31.2027778 30.0555396, 31.2028822 30.0554981, 31.2030296 30.0554395, 31.2031104 30.0553991, 31.2032028 30.0553482, 31.2032776 30.0553047)",,,,,,,,,,,,,,,,"[321215518, 9658499628, 6556682985, 3816918242, 9658499635, 6780996294, 6780996293, 321215519, 6462336912, 9658499626, 6462336911, 321215520, 6780996290, 9658499625, 9658421802, 9658499627, 9658499624, 9658499623, 321232467, 9658499622, 9658499621, 6465248085, 6464353574, 9658499618, 9658499617, 9658421816, 9658421815, 9658499620, 9658421814, 9658421813, 9658421812, 9658421811, 9658499619, 9658421810, 9658421809, 9658421808, 9658421807, 321233119, 9658421806, 9658421805, 9658421804, 9658421803, 3812606428, 3812606431, 321212229, 321212230, 6455430260, 6455430259, 6780996187, 6455430254, 6455430258, 6455430257, 6780996377, 6455794309, 321212231, 321212232]",شارع حلمى محمد حسن,شارع حلمى محمد حسن,Helmy Mohamed Hassn Street,yes,شارع جزيرة العرب,Gizera Al Arab Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,way,29202531,residential,"LINESTRING (31.1910003 30.0552516, 31.1918155 30.055412, 31.1924701 30.0555194)",,,,,,,,,,,,,,,,"[321215746, 321216927, 321229144]",شارع النقيب فوزي الرماح,شارع النقيب فوزي الرماح,Al Nakib Fawzi Al Remah Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,way,29202583,residential,"LINESTRING (31.1932944 30.0554051, 31.1938013 30.055274, 31.1945455 30.0550997, 31.1953462 30.0549041)",,,,,,,,,,,,,,,,"[6465248104, 6805946068, 6805946067, 321216224]",شارع النقيب فوزي الرماح,شارع النقيب فوزي الرماح,Al Nakib Fawzi Al Remah Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,way,29202590,residential,"LINESTRING (31.191507 30.0530574, 31.1923136 30.0531489, 31.1931318 30.0532417, 31.1932157 30.0532502, 31.1951935 30.0534372)",,,,,,,,,,,,,,,,"[321215934, 321230853, 321217409, 6464835836, 321216226]",شارع الرياض,شارع الرياض,Al Reyadh Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,way,29202620,tertiary,"LINESTRING (31.1926062 30.0595746, 31.1927308 30.0595131, 31.1928439 30.0594406, 31.1929511 30.0593617, 31.1930519 30.0592767, 31.1931457 30.059186, 31.1932465 30.059088, 31.1933507 30.0589941, 31.1937311 30.0587146, 31.1942537 30.0583558, 31.1943201 30.0583102, 31.1966117 30.0567065, 31.1967011 30.0566413, 31.1967874 30.0565855, 31.1976989 30.0559684, 31.1986687 30.0553119, 31.1991818 30.0549542, 31.1992696 30.0548887, 31.1992971 30.0548646, 31.1993143 30.0548428, 31.1993272 30.0548189)",,,,,,,,,,,,,,,,"[6464355791, 9855598239, 9855598238, 6461793812, 9855598237, 9855598236, 7216799686, 6465248093, 840834006, 6805138235, 6805138236, 321216333, 3818971993, 7045986823, 10572800734, 340154616, 6462336913, 6465050982, 6781078536, 9855598240, 6464355785]",شارع لبنان,شارع لبنان,Lebanon Street,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,way,29202637,residential,"LINESTRING (31.194021 30.0497542, 31.1946537 30.0500283, 31.1951075 30.0502274)",,,,,,,,,,,,,,,,"[6805139389, 361027946, 321232144]",شارع العراق,شارع العراق,Iraq Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,way,29202692,residential,"LINESTRING (31.1911262 30.0585435, 31.1913065 30.0577242, 31.1914046 30.0572786, 31.1914702 30.0569806, 31.191491 30.0568862, 31.1916278 30.0562645, 31.1918155 30.055412, 31.1919705 30.0547079, 31.1923136 30.0531489)",,,,,,,,,,,,,,,,"[321216926, 321228528, 10579677407, 6805138241, 6805138242, 321229809, 321216927, 10702089256, 321230853]",شارع غزه,شارع غزه,Ghaza Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,way,29202738,residential,"LINESTRING (31.1926512 30.0553933, 31.1928512 30.0544979, 31.192997 30.0538451, 31.1931318 30.0532417, 31.1932354 30.0527748, 31.193304 30.0524658, 31.1933199 30.0523899, 31.1935082 30.0515565, 31.1936452 30.0509431, 31.1939061 30.049775)",,,,,,,,,,,,,,,,"[6465248096, 6805946069, 6805946075, 321217409, 10702009525, 3816918957, 321217410, 6805138258, 10579570035, 321217411]",شارع دمشق,شارع دمشق,Damascus Street,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,way,29203994,residential,"LINESTRING (31.1937471 30.057698, 31.1936758 30.0577451, 31.1932064 30.0579941, 31.193085 30.0580301, 31.1930114 30.0580268, 31.192749 30.0579802, 31.1913065 30.0577242)",,,,,,,,,,,,,,,,"[321228587, 6464835812, 840833135, 6462336916, 321228585, 840835213, 321228528]",شارع القدس الشريف,شارع القدس الشريف,Al Qods Al Sherif Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,way,29204001,residential,"LINESTRING (31.1931844 30.0573107, 31.1932733 30.0572449, 31.1938542 30.056815, 31.1940877 30.0566527, 31.1944026 30.0564338, 31.1949663 30.0560417)",,,,,,,,,,,,,,,,"[6465248147, 6805138234, 321229824, 10584800990, 6805946070, 321228632]",شارع كمال ابراهيم خليل,شارع كمال ابراهيم خليل,Kamal Ibrahim Khalil Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,way,29204055,residential,"LINESTRING (31.1953819 30.0565787, 31.1950444 30.0561452, 31.1949663 30.0560417, 31.1948933 30.0559448, 31.1947721 30.0557297, 31.1947051 30.0555544, 31.194583 30.0552178, 31.1945455 30.0550997, 31.194373 30.054379, 31.1943324 30.0542636, 31.1943038 30.0542248, 31.1942575 30.0541619, 31.1941538 30.0540813, 31.1940289 30.0540277, 31.193892 30.0540052, 31.193078 30.0538596, 31.192997 30.0538451)",,,,,,,,,,,,,,,,"[6805946084, 6805973691, 321228632, 6805973690, 6805973689, 6805946083, 6805946082, 6805946067, 6805946081, 6805946080, 6805946073, 6805946078, 6805946076, 6805946077, 6805946079, 6805946066, 6805946075]",شارع خان يونس,شارع خان يونس,Khan Younis Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,way,29204058,residential,"LINESTRING (31.1924701 30.0555194, 31.192505 30.055454, 31.1925699 30.0554088, 31.1926512 30.0553933, 31.1926905 30.0553974, 31.1927278 30.0554088, 31.1927785 30.05544, 31.1928102 30.0554773, 31.1928281 30.0555209, 31.1928305 30.0555672, 31.1928152 30.0556165, 31.1927825 30.055659, 31.1927359 30.0556902, 31.1926802 30.055707, 31.1926212 30.0557075, 31.1925651 30.0556917, 31.1925178 30.0556613, 31.1924841 30.0556194, 31.1924676 30.0555704, 31.1924701 30.0555194)",,,,,,,,,,,,,,,,"[321229144, 321229134, 321229135, 6465248096, 321229686, 321229136, 6464835839, 321229137, 6465248103, 6790808214, 321229681, 321229138, 6465248099, 321229139, 321229140, 321229141, 321229142, 321229143, 455020570, 321229144]",,,,yes,,,roundabout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,way,29204131,residential,"LINESTRING (31.1916278 30.0562645, 31.1932912 30.0565647, 31.1935929 30.0566559, 31.1938542 30.056815)",,,,,,,,,,,,,,,,"[321229809, 321229823, 6790808213, 321229824]",شارع المسجد الاقصي,شارع المسجد الاقصي,Al Aksa Mosque Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
