MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
"367314490",2020-01-01T03:44:52,"39.28252","-76.21832","2.4","40.5","179",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T03:47:56,"39.28308","-76.22175","7.7","267.7","255",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T03:40:43,"39.28194","-76.2202","0.9","51.6","197",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T02:00:02,"39.38103","-76.09308","6.3","242.6","234",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T03:58:35,"39.27886","-76.25075","7.9","233.9","218",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T03:55:48,"39.28067","-76.24349","7.7","257.2","243",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T03:50:52,"39.28274","-76.22998","7.9","264","250",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T03:52:06,"39.28239","-76.23344","7.9","262","248",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T03:28:13,"39.28579","-76.2209","2.6","199.3","193",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T03:32:36,"39.28335","-76.2214","1.5","184.5","198",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T03:27:04,"39.28666","-76.22054","3.2","196.1","192",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T03:20:52,"39.29316","-76.21783","4.4","196.1","189",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T03:38:12,"39.28221","-76.22086","1.1","123.8","197",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T03:35:42,"39.28255","-76.22127","0.3","147.3","208",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T03:39:35,"39.28191","-76.22046","0.9","142.3","196",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T03:33:42,"39.28294","-76.22145","1.3","184.3","200",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T04:13:33,"39.2636","-76.26917","3.7","224.5","223",SCHUYLKILL,,WDD9655,"31","0","21","8",,,A
"367314490",2020-01-01T04:11:13,"39.26529","-76.26703","3.7","223.5","222",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T04:10:03,"39.26618","-76.26599","3.7","222.5","220",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T04:07:42,"39.26792","-76.26388","3.6","221.4","218",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T04:16:18,"39.26164","-76.27173","3.6","225.9","222",SCHUYLKILL,,WDD9655,"31","0","21","8",,,A
"367314490",2020-01-01T04:14:42,"39.26276","-76.27024","3.6","225.3","223",SCHUYLKILL,,WDD9655,"31","0","21","8",,,A
"367314490",2020-01-01T04:02:11,"39.27323","-76.25807","8.1","225.2","213",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T02:05:42,"39.37715","-76.10402","5.8","247.6","236",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T04:01:03,"39.275","-76.25579","8","224.9","213",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T03:59:42,"39.27715","-76.25307","7.9","224.9","213",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T02:08:23,"39.37547","-76.10916","5.8","247.9","236",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T04:05:33,"39.26951","-76.26211","3.6","216.5","214",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T04:06:34,"39.26879","-76.26293","3.6","222.1","219",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T04:03:23,"39.27138","-76.26031","5.8","221.7","213",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
